Course Code,Section Code,Section Display Name,Est. Enroll.,ISBN,Title,Author,Publisher,Date,Edition,Required?,Supplier,Link,OK to Use Newer Edition?,OK to Use Older Edition?,Section Status,Submitted By
AAAS 1000,601,Jarvis Hargrove,,978-1-56858-598-7,Stamped from the Beginning : The Definitive History of Racist Ideas in America,"Kendi, Ibram X.",PublicAffairs,8/15/2017,,required,,,,,Approved,
AAAS 2500,601,Shannon Vance,30,0,Black Past,,,,,required,BlackPast.org,https://www.blackpast.org/research-guides-websites/,,,Approved,Shannon Vance
AAAS 2500,601,Shannon Vance,30,978-1-4534-0118-7,See Instructor For Course Materials ,Staff,,,,required,,,,,Approved,Shannon Vance
ACCT 4611,601,Zhan Furner,,978-1-260-43319-7,Loose Leaf for Principles of Taxation for Business and Investment Planning 2020 Edition,"Rhoades-Catanach, Shelley C. and Jones, Sally",McGraw-Hill Education,4/8/2019,23,choice,,,,,Approved,Zhan Furner
ACCT 4611,602,Zhan Furner,,978-1-260-43319-7,Loose Leaf for Principles of Taxation for Business and Investment Planning 2020 Edition,"Rhoades-Catanach, Shelley C. and Jones, Sally",McGraw-Hill Education,4/8/2019,23,choice,,,,,Approved,Zhan Furner
ACCT 4631,1,Stacie Tronto,36,978-0-89413-987-1,Internal Auditing,Reding,Iia,1/1/2017,4,optional,,,*,,Approved,Stacie Tronto
ACCT 4631,2,Stacie Tronto,36,978-0-89413-987-1,Internal Auditing,Reding,Iia,1/1/2017,4,optional,,,*,,Approved,Stacie Tronto
ACCT 4641,1,Amanda Peterson,,978-1-4534-0250-4,Acct 4641 Cafr Buncombe County,Schisler,Ecurc,1/1/2018,,required,,,,,Approved,Amanda Peterson
ACCT 4641,2,Amanda Peterson,,978-1-4534-0250-4,Acct 4641 Cafr Buncombe County,Schisler,Ecurc,1/1/2018,,required,,,,,Approved,Amanda Peterson
ACCT 6241,603,Amanda Peterson,,978-1-259-69387-8,Fundamentals Accounting (connect access),Wild,Mcgraw Hill,1/1/2016,23,choice,,,,,Approved,Amanda Peterson
ACCT 6241,604,Amanda Peterson,,978-1-259-69387-8,Fundamentals Accounting (connect access),Wild,Mcgraw Hill,1/1/2016,23,choice,,,,,Approved,
ACCT 6241,601,Mark McCarthy,,978-1-260-11892-6,FUNDAMENTAL ACCOUNTING PRINCIPLES (connect w/ebook access) avail mheducation.com,Wild,McGraw-Hill,1/1/2019,24,choice,,,,,Approved,Mark McCarthy
ACCT 6241,602,Mark McCarthy,,978-1-260-11892-6,FUNDAMENTAL ACCOUNTING PRINCIPLES (connect w/ebook access) avail mheducation.com,Wild,McGraw-Hill,1/1/2019,24,choice,,,,,Approved,Mark McCarthy
ACCT 6301,601,John Reisch,35,978-1-337-61967-7,Fraud Examination,"Albrecht, W. Steve, Albrecht, Chad O., Albrecht, Conan C., and Zimbelman, Mark F.",Cengage South-Western,5/1/2018,6,required,,,,*,Approved,John Reisch
ACCT 6641,1,Mark McCarthy,,978-1-260-36168-1,Advanced Accounting (connect) avail mheducation.com,Hoyle,McGraw-Hill,1/1/2021,14,choice,,,,,Approved,Mark McCarthy
