Course Code,Section Code,Section Display Name,Est. Enroll.,ISBN,Title,Author,Publisher,Date,Edition,Required?,Supplier,Link,OK to Use Newer Edition?,OK to Use Older Edition?,Section Status,Submitted By
AAAS 1000,601,Jarvis Hargrove,,978-1-56858-598-7,Stamped from the Beginning : The Definitive History of Racist Ideas in America,"Kendi, Ibram X.",PublicAffairs,8/15/2017,,required,,,,,Approved,
AAAS 2500,601,Shannon Vance,30,0,Black Past,,,,,required,BlackPast.org,https://www.blackpast.org/research-guides-websites/,,,Approved,Shannon Vance
AAAS 2500,601,Shannon Vance,30,978-1-4534-0118-7,See Instructor For Course Materials ,Staff,,,,required,,,,,Approved,Shannon Vance
ACCT 2101,602,Jan Workman,,978-1-307-29942-7,Reisch,Survey of Financial/Managerial ACCT (Book w/Connect) ECU,McGraw Hill ,1/1/2018,1,choice,,,,,Approved,Jan Workman
ACCT 2101,602,Jan Workman,,978-1-260-73698-4,Reisch,Survey of Financial/Managerial ACCT (EBK w/Connect) ECU,McGraw Hill,1/1/2018,1,choice,,,,,Approved,Jan Workman
ACCT 2101,603,Jan Workman,,978-1-307-29942-7,Reisch,Survey of Financial/Managerial ACCT (Book w/Connect) ECU,McGraw Hill ,1/1/2018,1,choice,,,,,Approved,Jan Workman
ACCT 2101,603,Jan Workman,,978-1-260-73698-4,Reisch,Survey of Financial/Managerial ACCT (EBK w/Connect) ECU,McGraw Hill,1/1/2018,1,choice,,,,,Approved,Jan Workman
ACCT 2101,1,Stacie Tronto,,978-1-307-29942-7,Reisch,Survey of Financial/Managerial ACCT (Book w/Connect) ECU,McGraw Hill ,1/1/2018,1,choice,,,,,Approved,Stacie Tronto
ACCT 2101,1,Stacie Tronto,,978-1-260-73698-4,Reisch,Survey of Financial/Managerial ACCT (EBK w/Connect) ECU,McGraw Hill,1/1/2018,1,choice,,,,,Approved,Stacie Tronto
ACCT 2101,601,Zhan Furner,,978-1-307-29942-7,Reisch,Survey of Financial/Managerial ACCT (Book w/Connect) ECU,McGraw Hill ,1/1/2018,1,choice,,,,,Approved,Zhan Furner
ACCT 2101,601,Zhan Furner,,978-1-260-73698-4,Reisch,Survey of Financial/Managerial ACCT (EBK w/Connect) ECU,McGraw Hill,1/1/2018,1,choice,,,,,Approved,Zhan Furner
ACCT 2401,608,Azita Movahed,,978-1-264-01373-9,Combo LSC (ECU) ACCT 2401: LL w/connect 360 access for Financial Accounting Fundamentals,Wild,McGraw Hill,1/1/2019,7,required,,,,,Approved,Azita Movahed
ACCT 2401,1,Debra Schisler,180,978-1-264-01373-9,Combo LSC (ECU) ACCT 2401: LL w/connect 360 access for Financial Accounting Fundamentals,Wild,McGraw Hill,1/1/2019,7,choice,,,,,Approved,Debra Schisler
ACCT 2401,1,Debra Schisler,180,978-1-264-00778-3,LSC (ECU) ACCT 2401: Print connect 360 access card for Financial Accounting Fundamentals,Wild,McGraw Hill,1/1/2019,7,choice,,,,,Approved,Debra Schisler
ACCT 2401,2,Debra Schisler,180,978-1-264-01373-9,Combo LSC (ECU) ACCT 2401: LL w/connect 360 access for Financial Accounting Fundamentals,Wild,McGraw Hill,1/1/2019,7,choice,,,,,Approved,Debra Schisler
